sku,description,price,stock,category_id,product_name,image
FOOD002,Chicken & Rice Formula providing essential nutrients for your pet's health.,29.99,35,4,Chicken & Rice Formula,istockphoto-545444372-612x612.jpg
FOOD003,Beef & Vegetable Stew  a hearty and balanced meal for dogs.,39.99,30,4,Beef & Vegetable Stew,istockphoto-511522714-612x612.jpg
FOOD004,Lamb & Brown Rice Recipe  promoting healthy digestion and skin.,36.99,25,4,Lamb & Brown Rice Recipe,istockphoto-1298426222-612x612.jpg
FOOD005,Turkey & Cranberry Entree  a festive meal for special occasions.,42.99,20,4,Turkey & Cranberry Entree,istockphoto-495329978-612x612.jpg
FOOD006,Duck & Pea Formula  ideal for dogs with food sensitivities.,38.99,30,4,Duck & Pea Formula,
FOOD007,Bison & Barley Blend  providing a protein-rich and satisfying meal.,44.99,25,4,Bison & Barley Blend,
FOOD008,Venison & Potato Stew  a novel protein source for dogs with allergies.,46.99,20,4,Venison & Potato Stew,
FOOD009,Salmon & Pumpkin Feast  promoting joint health and digestive wellness.,37.99,35,4,Salmon & Pumpkin Feast,
FOOD010,Chicken & Quinoa Delight  a high-protein and gluten-free meal option.,32.99,40,4,Chicken & Quinoa Delight,
FOOD011,Beef & Green Bean Casserole  a tasty and nutritious meal for dogs.,41.99,25,4,Beef & Green Bean Casserole,
FOOD012,Lamb & Lentil Medley  a balanced and grain-free meal option.,35.99,30,4,Lamb & Lentil Medley,
FOOD013,Turkey & Carrot Dinner  packed with vitamins and antioxidants.,39.99,25,4,Turkey & Carrot Dinner,
FOOD014,Duck & Blueberry Delight  providing a burst of flavor and antioxidants.,43.99,20,4,Duck & Blueberry Delight,
FOOD015,Bison & Sweet Potato Stew  a hearty and satisfying meal for dogs.,38.99,30,4,Bison & Sweet Potato Stew,
FOOD016,Venison & Spinach Entree  promoting overall health and vitality.,42.99,25,4,Venison & Spinach Entree,
FOOD017,Rabbit & Carrot Stew  a novel protein source for dogs with sensitivities.,45.99,20,4,Rabbit & Carrot Stew,
FOOD018,Trout & Sweet Potato Recipe  a delicious and nutritious meal option.,36.99,30,4,Trout & Sweet Potato Recipe,
FOOD019,Chicken & Chickpea Curry  a flavorful and protein-rich meal for dogs.,39.99,25,4,Chicken & Chickpea Curry,
FOOD020,Pork & Apple Casserole  a unique and tasty meal for your furry friend.,44.99,20,4,Pork & Apple Casserole,
APP001,Waterproof Reflective Raincoat keeping your dog dry and visible in the rain.,19.99,10,5,Waterproof Reflective Raincoat,istockphoto-1047614026-612x612.jpg
APP002,Plaid Flannel Shirt for a stylish and cozy look.,14.99,25,5,Plaid Flannel Shirt,istockphoto-1931924707-612x612.jpg
APP003,Cable Knit Sweater providing warmth and style.,24.99,20,5,Cable Knit Sweater,istockphoto-1333201464-612x612.jpg
APP004,Quilted Puffer Vest for extra warmth during cold weather.,29.99,15,5,Quilted Puffer Vest,istockphoto-512906586-612x612.jpg
APP005,Fleece-Lined Hoodie keeping your dog warm and comfortable.,19.99,20,5,Fleece-Lined Hoodie,istockphoto-1446507864-612x612.jpg
APP006,Reflective Safety Vest for visibility during outdoor activities.,17.99,30,5,Reflective Safety Vest,istockphoto-1163909140-612x612.jpg
APP007,Sherpa-Lined Jacket for ultimate coziness and style.,34.99,15,5,Sherpa-Lined Jacket,istockphoto-1203285594-612x612.jpg
APP008,Canvas Utility Jacket for durability and functionality.,27.99,20,5,Canvas Utility Jacket,istockphoto-1188246390-612x612.jpg
APP009,Floral Print Dress for a fashionable and feminine look.,22.99,10,5,Floral Print Dress,istockphoto-174834895-612x612.jpg
APP010,Denim Overalls for a cute and casual style.,19.99,15,5,Denim Overalls,istockphoto-1331725340-612x612.jpg
APP011,Bow Tie Collar adding a touch of elegance to any outfit.,9.99,25,5,Bow Tie Collar,istockphoto-1206242629-612x612.jpg
APP012,Neoprene Sport Coat for active dogs who love outdoor adventures.,32.99,20,5,Neoprene Sport Coat,istockphoto-1332164041-612x612.jpg
APP013,Wool Blend Peacoat for classic style and warmth.,39.99,15,5,Wool Blend Peacoat,istockphoto-641002994-612x612.jpg
APP014,Hawaiian Print Shirt for a fun and tropical look.,16.99,20,5,Hawaiian Print Shirt,istockphoto-940313358-612x612.jpg
APP015,Leather Harness combining style and functionality.,24.99,10,5,Leather Harness,istockphoto-636972540-612x612.jpg
APP016,Sun Protection Shirt for UV protection during sunny days.,21.99,25,5,Sun Protection Shirt,istockphoto-538579788-612x612.jpg
APP017,Tuxedo Costume for special occasions and formal events.,29.99,15,5,Tuxedo Costume,istockphoto-174982689-612x612.jpg
APP018,Camouflage Jacket for outdoor adventures and rugged style.,26.99,20,5,Camouflage Jacket,istockphoto-491322875-612x612.jpg
APP019,Knit Beanie Hat for extra warmth and style during winter.,12.99,10,5,Knit Beanie Hat,istockphoto-1298298978-612x612.jpg
APP020,Soccer Jersey Costume for sports-loving pups.,18.99,15,5,Soccer Jersey Costume,istockphoto-152950107-612x612.jpg
